"Name","RefDes","Value","Quantity","Part"
"Mill-Max 3128-1-00-15-00-00-08-0","3V3, GND, TP1, TP2, TP3, TP4, TP5, TP6","","8","E 2779230"
"CAP_0603","C1, C8, C10, C11, C13","100nF","5","E 1288255"
"CAP_1210","C2, C3","10uF","2","D 445-4537-1-ND"
"CAP_1206","C4, C5, C16","10uF","3","D 445-4042-1-ND"
"EEEFK_sizeK16","C6","3300uF","1","E 2326367"
"CAP_0603","C7, C14","1uF","2","D 445-1604-1-ND"
"EEEFK_sizeD8","C9","100uF","1","D PCE3797CT-ND"
"CAP_0603","C12","10nF","1","E 1414609"
"CAP_0603","C15","0.47uF","1","E 3489827"
"MDB6S","D1","","1","E 2575371"
"S1G","D2","","1","E 9843850"
"BAS316,135","D3","","1","E 8734275"
"SWITCH SPST SMD PTS645","FLASH, RESET","","2","D CKN9112CT-ND"
"Screw Terminal2 mm","hdr1","TW1","1","Stock Jaycar"
"Screw Terminal2 mm","hdr2","TW2","1","Stock Jaycar"
"PGM","hdr3","","1","Not installed"
"Screw Terminal3 mm","hdr4","TMP","1","Stock Jaycar"
"SIL4","hdr5","","1","Not installed"
"Wurth 744062150","L1","15uH","1","E 2211474"
"#4_MTGP240H125V6H20","MH1, MH2, MH3, MH4","","4",""
"BSH105","Q1","","1","E 1758066"
"RES_0603","R1","1M","1","D P1.0MGCT-ND"
"RES_0603","R2","31K6","1","E 2059454"
"RES_0603","R3","10K","1","E 2303192"
"RES_0402","R4, R15, R16","4K7","3","Stock 0402"
"RES_0402","R5, R8","1M","2","Stock 0402"
"RES_0402","R6, R10, R11, R12","10K","4","Stock 0402"
"RES_0402","R7, R13","22K","2","Stock 0402"
"RES_0402","R9","1K5","1","Stock 0402"
"RES400","R14","22R","1","E 1833158"
"ESP32-WROOM","U1","","1","Stock IoT"
"MCP16311","U2","","1","D MCP16311T-E/MSCT-ND"
"TS461CLT","U3","","1","E 1094375"
