"RefDes","Name","Pattern","Center X (mm)","Center Y (mm)","Side","Rotation","Value"
"C1","CAP_0603","CAP_0603","41.725","32.925","Top","270.0","100nF"
"C2","CAP_1210","CAP_1210","37.1","29.3","Top","0.0","10uF"
"C3","CAP_1210","CAP_1210","37.1","26.2","Top","0.0","10uF"
"C4","CAP_1206","CAP_1206","42.3","23.5","Top","180.0","10uF"
"C5","CAP_1206","CAP_1206","42.3","21.2","Top","180.0","10uF"
"C6","EEEFK_sizeK16","CAPAE-19.2x19.2h16.5","29.4","12.4","Top","270.0","3300uF"
"C7","CAP_0603","CAP_0603","38.45","35.3","Top","0.0","1uF"
"C8","CAP_0603","CAP_0603","71.05","35.1","Top","0.0","100nF"
"C9","EEEFK_sizeD8","CAPAE-6.6x6.6h7.7","57.99","38.65","Top","90.0","100uF"
"C10","CAP_0603","CAP_0603","18.35","30.8","Top","180.0","100nF"
"C11","CAP_0603","CAP_0603","25.6","33.05","Top","270.0","100nF"
"C12","CAP_0603","CAP_0603","12.45","29.6","Top","0.0","10nF"
"C13","CAP_0603","CAP_0603","32.2","28.85","Top","90.0","100nF"
"C14","CAP_0603","CAP_0603","12.45","33.9","Top","180.0","1uF"
"C15","CAP_0603","CAP_0603","17.05","33.9","Top","180.0","0.47uF"
"C16","CAP_1206","CAP_1206","70.3","36.9","Top","0.0","10uF"
"D1","SOP4P400_500X650X145L60X65L","SOP4P400_500X650X145L60X65L","13.55","18","Top","90.0",""
"D2","S1G","SMA","14.5","24.7","Top","270.0",""
"D3","BAS316,135","SOD250X125X110L30X32N","11.6","23.77","Top","270.0",""
"FLASH","SWITCH SPST SMD PTS645","Switch SPST SMD PTS645","57.64","8.975","Top","90.0",""
"hdr1","Screw Terminal2 mm","Screw Terminal2 mm","4.7","12.781","Top","0.0","TW1"
"hdr2","Screw Terminal2 mm","Screw Terminal2 mm","4.7","22.781","Top","0.0","TW2"
"hdr3","PGM","SIL6","63.95","2.4","Top","90.0",""
"hdr4","Screw Terminal3 mm","Screw Terminal3 mm","4.7","35","Top","0.0","TMP"
"hdr5","SIL4","SIL4","66.51","47.6","Top","90.0","I2C"
"L1","IND SRR6038","IND SRR6038","46.5","28.95","Top","0.0","15uH"
"MH1","#4_MTGP240H125V6H20","#4_MTGP240H125V6H20","15.25","9.75","Top","90.0",""
"MH2","#4_MTGP240H125V6H20","#4_MTGP240H125V6H20","15.25","40.25","Top","90.0",""
"MH3","#4_MTGP240H125V6H20","#4_MTGP240H125V6H20","65.45","40.25","Top","90.0",""
"MH4","#4_MTGP240H125V6H20","#4_MTGP240H125V6H20","65.45","9.75","Top","90.0",""
"Q1","BSH105","SOT23","50.65","15.75","Top","270.0",""
"R1","RES_0603","RES_0603","34.2","31.75","Top","270.0","1M"
"R2","RES_0603","RES_0603","35.7","36.15","Top","90.0","31K6"
"R3","RES_0603","RES_0603","34.2","36.15","Top","270.0","10K"
"R4","RES_0402","RES_0402","9.6","30.581","Top","270.0","4K7"
"R5","RES_0402","RES_0402","19.2","36.05","Top","90.0","1M"
"R6","RES_0402","RES_0402","24.3","36.05","Top","90.0","10K"
"R7","RES_0402","RES_0402","24.3","33.25","Top","90.0","22K"
"R8","RES_0402","RES_0402","50.95","18.3","Top","0.0","1M"
"R9","RES_0402","RES_0402","11.6","27.45","Top","270.0","1K5"
"R10","RES_0402","RES_0402","62.05","7","Top","0.0","10K"
"R11","RES_0402","RES_0402","62.05","6.1","Top","0.0","10K"
"R12","RES_0402","RES_0402","12.25","32","Top","180.0","10K"
"R13","RES_0402","RES_0402","14.7","33.25","Top","90.0","22K"
"R14","RES400","RES-10.16/5.1x2.5","42","9.3","Top","270.0","22R"
"R15","RES_0402","RES_0402","67.15","44.1","Top","180.0","4K7"
"R16","RES_0402","RES_0402","69.65","44.1","Top","180.0","4K7"
"RESET","SWITCH SPST SMD PTS645","Switch SPST SMD PTS645","48.84","8.925","Top","270.0",""
"U1","ESP32-WROOM","ESP32-WROOM","66.2","24.2","Top","270.0",""
"U2","MCP16311","MSOP-8","37.9","32.925","Top","0.0",""
"U3","TS461CLT","SOT23-5P95_280X145L45X35L","20.375","32.95","Top","90.0",""
